City,Category,Place,Location (geocode query),Country
Tokyo,Attractions & Temples,Meiji Jingu,"Meiji Jingu, Tokyo, Japan",Japan
Tokyo,Attractions & Temples,Sensō-ji,"Sensō-ji, Tokyo, Japan",Japan
Tokyo,Attractions & Temples,Takeshita Street,"Takeshita Street, Tokyo, Japan",Japan
Tokyo,Attractions & Temples,Shibuya Scramble Crossing,"Shibuya Scramble Crossing, Tokyo, Japan",Japan
Tokyo,Attractions & Temples,Imperial Palace,"Imperial Palace, Tokyo, Japan",Japan
Tokyo,Attractions & Temples,Ueno Zoological Gardens,"Ueno Zoological Gardens, Tokyo, Japan",Japan
Tokyo,Attractions & Temples,Asakusa,"Asakusa, Tokyo, Japan",Japan
Tokyo,Attractions & Temples,Akihabara,"Akihabara, Tokyo, Japan",Japan
Tokyo,Attractions & Temples,Roppongi,"Roppongi, Tokyo, Japan",Japan
Tokyo,Attractions & Temples,Tokyo Tower,"Tokyo Tower, Tokyo, Japan",Japan
Tokyo,Attractions & Temples,Nezu Museum,"Nezu Museum, Tokyo, Japan",Japan
Tokyo,Attractions & Temples,Shinjuku Golden-Gai,"Shinjuku Golden-Gai, Tokyo, Japan",Japan
Tokyo,Attractions & Temples,Mitsukoshi Ginza,"Mitsukoshi Ginza, Tokyo, Japan",Japan
Tokyo,Attractions & Temples,ART AQUARIUM MUSEUM,"ART AQUARIUM MUSEUM, Tokyo, Japan",Japan
Tokyo,Attractions & Temples,GINZA SIX,"GINZA SIX, Tokyo, Japan",Japan
Tokyo,Attractions & Temples,Shinjuku Gyoen National Garden,"Shinjuku Gyoen National Garden, Tokyo, Japan",Japan
Tokyo,Attractions & Temples,teamLab Planets,"teamLab Planets, Tokyo, Japan",Japan
Tokyo,Attractions & Temples,Tsukiji Outer Market,"Tsukiji Outer Market, Tokyo, Japan",Japan
Tokyo,Attractions & Temples,Tokyo Skytree,"Tokyo Skytree, Tokyo, Japan",Japan
Tokyo,Attractions & Temples,Mori Art Museum,"Mori Art Museum, Tokyo, Japan",Japan
Tokyo,Attractions & Temples,Hachikō Memorial Statue,"Hachikō Memorial Statue, Tokyo, Japan",Japan
Tokyo,Attractions & Temples,Tokyo Disneyland,"Tokyo Disneyland, Tokyo, Japan",Japan
Tokyo,Attractions & Temples,Tokyo DisneySea,"Tokyo DisneySea, Tokyo, Japan",Japan
Tokyo,Attractions & Temples,Tokyo National Museum,"Tokyo National Museum, Tokyo, Japan",Japan
Tokyo,Attractions & Temples,Ghibli Museum,"Ghibli Museum, Tokyo, Japan",Japan
Tokyo,Attractions & Temples,Sanrio Puroland,"Sanrio Puroland, Tokyo, Japan",Japan
Tokyo,Attractions & Temples,Zōjō-ji,"Zōjō-ji, Tokyo, Japan",Japan
Tokyo,Attractions & Temples,MEGA Don Quijote,"MEGA Don Quijote, Tokyo, Japan",Japan
Tokyo,Attractions & Temples,Pokemon Center Shibuya,"Pokemon Center Shibuya, Tokyo, Japan",Japan
Tokyo,Attractions & Temples,Shibuya Sky,"Shibuya Sky, Tokyo, Japan",Japan
Tokyo,Attractions & Temples,21_21 DESIGN SIGHT,"21_21 DESIGN SIGHT, Tokyo, Japan",Japan
Tokyo,Attractions & Temples,Tokyu Plaza Omotesando Omokado,"Tokyu Plaza Omotesando Omokado, Tokyo, Japan",Japan
Tokyo,Bars,The SG Club,"The SG Club, Tokyo, Japan",Japan
Tokyo,Bars,Bar Benfiddich,"Bar Benfiddich, Tokyo, Japan",Japan
Tokyo,Bars,The Bellwood,"The Bellwood, Tokyo, Japan",Japan
Tokyo,Bars,Artbar Tokyo Daikanyama,"Artbar Tokyo Daikanyama, Tokyo, Japan",Japan
Tokyo,Bars,THE MUSIC BAR CAVE SHIBUYA,"THE MUSIC BAR CAVE SHIBUYA, Tokyo, Japan",Japan
Tokyo,Cafes & Bakeries,The Matcha Tokyo Omotesandō,"The Matcha Tokyo Omotesandō, Tokyo, Japan",Japan
Tokyo,Cafes & Bakeries,Blue Bottle Coffee Shinjuku Cafe,"Blue Bottle Coffee Shinjuku Cafe, Tokyo, Japan",Japan
Tokyo,Cafes & Bakeries,Ralph's Coffee Tokyo,"Ralph's Coffee Tokyo, Tokyo, Japan",Japan
Tokyo,Cafes & Bakeries,Hatoya Asakusa,"Hatoya Asakusa, Tokyo, Japan",Japan
Tokyo,Cafes & Bakeries,I'm donut Harajuku,"I'm donut Harajuku, Tokyo, Japan",Japan
Tokyo,Cafes & Bakeries,Matcha Stand Maruni Tokyo Tsukiji,"Matcha Stand Maruni Tokyo Tsukiji, Tokyo, Japan",Japan
Tokyo,Cafes & Bakeries,Glitch Coffee and Roasters GINZA,"Glitch Coffee and Roasters GINZA, Tokyo, Japan",Japan
Tokyo,Cafes & Bakeries,I'm donut SHIBUYA,"I'm donut SHIBUYA, Tokyo, Japan",Japan
Tokyo,Cafes & Bakeries,%ARABICA Tokyo Azabudai Hills,"%ARABICA Tokyo Azabudai Hills, Tokyo, Japan",Japan
Tokyo,Restaurants,NOBU Tokyo,"NOBU Tokyo, Tokyo, Japan",Japan
Tokyo,Restaurants,Yoroniku Tokyo,"Yoroniku Tokyo, Tokyo, Japan",Japan
Tokyo,Restaurants,Manten Sushi Marunouchi,"Manten Sushi Marunouchi, Tokyo, Japan",Japan
Tokyo,Restaurants,Gyukatsu Kyoto Katsugyu Shibuya Dogenzaka,"Gyukatsu Kyoto Katsugyu Shibuya Dogenzaka, Tokyo, Japan",Japan
Tokyo,Restaurants,Jomon Roppongi,"Jomon Roppongi, Tokyo, Japan",Japan
Tokyo,Restaurants,AFURI Ebisu,"AFURI Ebisu, Tokyo, Japan",Japan
Tokyo,Restaurants,Daikanyama Issai Kassai,"Daikanyama Issai Kassai, Tokyo, Japan",Japan
Tokyo,Restaurants,Han no daidokoro bettei shibuya,"Han no daidokoro bettei shibuya, Tokyo, Japan",Japan
Tokyo,Restaurants,Ippudo Ginza,"Ippudo Ginza, Tokyo, Japan",Japan
Tokyo,Restaurants,Sugoi Niboshi Rāmen Nagi Shinjuku Golden Gai,"Sugoi Niboshi Rāmen Nagi Shinjuku Golden Gai, Tokyo, Japan",Japan
Tokyo,Restaurants,Jikasei MENSHO Tokyo,"Jikasei MENSHO Tokyo, Tokyo, Japan",Japan
Tokyo,Restaurants,Sushi Ginza Onodera Tōryūmon,"Sushi Ginza Onodera Tōryūmon, Tokyo, Japan",Japan
Kyoto,Attractions & Temples,Sannenzaka,"Sannenzaka, Kyoto, Japan",Japan
Kyoto,Attractions & Temples,Nishiki Market,"Nishiki Market, Kyoto, Japan",Japan
Kyoto,Attractions & Temples,Arashiyama,"Arashiyama, Kyoto, Japan",Japan
Kyoto,Attractions & Temples,Kinkaku-ji Temple,"Kinkaku-ji Temple, Kyoto, Japan",Japan
Kyoto,Attractions & Temples,Pontocho,"Pontocho, Kyoto, Japan",Japan
Kyoto,Attractions & Temples,Fushimi Inari Taisha,"Fushimi Inari Taisha, Kyoto, Japan",Japan
Kyoto,Attractions & Temples,Nijō Castle,"Nijō Castle, Kyoto, Japan",Japan
Kyoto,Attractions & Temples,Kiyomizu-dera,"Kiyomizu-dera, Kyoto, Japan",Japan
Kyoto,Attractions & Temples,Yasaka Shrine,"Yasaka Shrine, Kyoto, Japan",Japan
Kyoto,Attractions & Temples,Nintendo Museum Kyoto,"Nintendo Museum Kyoto, Kyoto, Japan",Japan
Kyoto,Attractions & Temples,Arashiyama Bamboo Forest,"Arashiyama Bamboo Forest, Kyoto, Japan",Japan
Kyoto,Attractions & Temples,Arashiyama Monkey Park Iwatayama,"Arashiyama Monkey Park Iwatayama, Kyoto, Japan",Japan
Kyoto,Bars,K36 The Bar & Rooftop Kyoto,"K36 The Bar & Rooftop Kyoto, Kyoto, Japan",Japan
Kyoto,Bars,L'Escamoteur Kyoto,"L'Escamoteur Kyoto, Kyoto, Japan",Japan
Kyoto,Cafes & Bakeries,Maccha House Kyoto,"Maccha House Kyoto, Kyoto, Japan",Japan
Kyoto,Cafes & Bakeries,Starbucks Kyoto Ninenzaka Yasaka Chaya,"Starbucks Kyoto Ninenzaka Yasaka Chaya, Kyoto, Japan",Japan
Kyoto,Cafes & Bakeries,WIFE & HUSBAND Kyoto,"WIFE & HUSBAND Kyoto, Kyoto, Japan",Japan
Kyoto,Cafes & Bakeries,% ARABICA Kyoto Arashiyama,"% ARABICA Kyoto Arashiyama, Kyoto, Japan",Japan
Kyoto,Restaurants,Gyoza ChaoChao Shijo Kawaramachi,"Gyoza ChaoChao Shijo Kawaramachi, Kyoto, Japan",Japan
Kyoto,Restaurants,Kobe Beef Steak Mouriya Gion,"Kobe Beef Steak Mouriya Gion, Kyoto, Japan",Japan
Kyoto,Restaurants,Ichiran Kyoto Kawaramachi,"Ichiran Kyoto Kawaramachi, Kyoto, Japan",Japan
Kyoto,Restaurants,Wajoryomen Sugari,"Wajoryomen Sugari, Kyoto, Japan",Japan
